city_id,grid_id,zone_name,latitude,longitude,elevation_m,slope_deg,flow_accumulation,drainage_density,distance_to_water_m,distance_to_budameru_m,distance_to_krishna_m,land_cover_class,impervious_surface_ratio,road_density_km_km2,building_density,historical_flood_count,historical_flood_frequency,historical_flooded_area_pct
VJA,VJA_0001,Mangalagiri Foothills,16.45225,80.56235,54.7,3.14,5.0,0.96,4760.2,4760.2,4760.2,Peri-Urban / Open Land,0.3,3.15,0.26,0,0.0,0.0
VJA,VJA_0002,Mangalagiri Foothills,16.45225,80.56705,68.0,7.37,5.0,0.93,4812.7,4812.7,4812.7,Peri-Urban / Open Land,0.44,4.62,0.19,0,0.0,0.0
VJA,VJA_0003,Mangalagiri Foothills,16.45225,80.57175,66.6,5.14,5.0,0.87,4915.9,4915.9,4915.9,Urban Medium Density,0.49,7.6,0.41,0,0.0,0.0
VJA,VJA_0004,Mangalagiri Foothills,16.45225,80.57645,46.0,7.55,5.0,0.79,5066.9,5066.9,5066.9,Urban Medium Density,0.53,5.54,0.43,0,0.0,0.0
VJA,VJA_0005,Mangalagiri Foothills,16.45225,80.58115,72.0,7.8,5.0,0.68,5261.4,5261.4,5261.4,Urban Medium Density,0.54,8.46,0.37,0,0.0,0.0
VJA,VJA_0006,Mangalagiri Foothills,16.45225,80.58585,41.2,7.58,5.0,0.55,5494.9,5494.9,5494.9,Urban Medium Density,0.64,8.23,0.47,0,0.0,0.0
VJA,VJA_0007,Mangalagiri Foothills,16.45225,80.59055,65.5,6.07,5.0,0.4,5762.7,5762.7,5762.7,Urban Medium Density,0.64,5.81,0.42,0,0.0,0.0
VJA,VJA_0008,Mangalagiri Foothills,16.45225,80.59525,76.4,5.55,5.0,0.3,6060.1,6060.1,6060.1,Urban Medium Density,0.48,5.06,0.52,0,0.0,0.0
VJA,VJA_0009,Mangalagiri Foothills,16.45225,80.59995,78.1,3.76,5.0,0.3,6111.7,6111.7,6111.7,Urban Medium Density,0.58,6.16,0.49,0,0.0,0.0
VJA,VJA_0010,Tadepalle (Amaravati),16.45225,80.60465,17.8,1.41,33.1,0.3,6088.0,6088.0,6088.0,Urban Medium Density,0.45,6.98,0.59,1,0.1,42.3
VJA,VJA_0011,Tadepalle (Amaravati),16.45225,80.60935,16.3,2.33,39.1,0.3,5974.4,5974.4,5974.4,Urban Medium Density,0.67,7.87,0.52,2,0.2,39.2
VJA,VJA_0012,Tadepalle (Amaravati),16.45225,80.61405,19.1,2.36,27.9,0.32,5899.7,5899.7,5899.7,Urban Medium Density,0.69,6.47,0.51,2,0.2,47.4
VJA,VJA_0013,Tadepalle (Amaravati),16.45225,80.61875,16.0,2.16,40.3,0.34,5867.0,5867.0,5867.0,Urban Medium Density,0.62,8.02,0.46,1,0.1,36.6
VJA,VJA_0014,Tadepalle (Amaravati),16.45225,80.62345,16.9,0.75,36.7,0.33,5877.1,5877.1,5877.1,Urban Medium Density,0.69,6.57,0.6,2,0.2,34.7
VJA,VJA_0015,Tadepalle (Amaravati),16.45225,80.62815,17.3,3.35,35.1,0.31,5929.6,5929.6,5929.6,Urban Medium Density,0.51,7.08,0.4,2,0.2,33.1
VJA,VJA_0016,Tadepalle (Amaravati),16.45225,80.63285,18.8,2.84,29.1,0.3,6023.4,6023.4,6023.4,Urban Medium Density,0.64,7.8,0.5,2,0.2,47.0
VJA,VJA_0017,Tadepalle (Amaravati),16.45225,80.63755,18.8,3.15,29.1,0.3,6156.8,6156.8,6156.8,Urban Medium Density,0.68,8.58,0.4,2,0.2,39.6
VJA,VJA_0018,Tadepalle (Amaravati),16.45225,80.64225,17.8,0.91,33.1,0.36,5834.6,5834.6,5834.6,Urban Medium Density,0.69,7.95,0.59,1,0.1,37.8
VJA,VJA_0019,Patamata / Benz Circle,16.45225,80.64695,24.9,7.24,5.0,0.57,5452.0,5452.0,5452.0,Urban Medium Density,0.7,7.62,0.49,0,0.0,0.0
VJA,VJA_0020,Patamata / Benz Circle,16.45225,80.65165,23.4,6.39,10.7,0.77,5090.0,5090.0,5090.0,Urban Medium Density,0.51,6.13,0.53,0,0.0,0.0
VJA,VJA_0021,Patamata / Benz Circle,16.45225,80.65635,22.4,3.74,14.8,0.96,4753.4,4753.4,4753.4,Urban Medium Density,0.69,8.4,0.35,0,0.0,0.0
VJA,VJA_0022,Patamata / Benz Circle,16.45225,80.66105,23.4,3.75,10.8,1.13,4447.9,4447.9,4447.9,Urban Medium Density,0.65,6.3,0.56,0,0.0,0.0
VJA,VJA_0023,Patamata / Benz Circle,16.45225,80.66575,23.6,5.42,10.0,1.28,4180.3,4180.3,4180.3,Urban Medium Density,0.66,7.48,0.58,0,0.0,0.0
